sitename,Address,firstComplaint,lastComplaint,NumOfComplaints,NumOfCleanups,NumOfEncampments,NumOfCamps,NumOfOutreachContacted,NumOfOutreachReferred,MapLatitude,MapLongitude,TargetDate,CleanupScheduledOrCompleteDate,CleanupStatus,CleanupID,CleanupSiteCondition,ComplaintSiteCondition,InspectionSiteCondition,OutreachSiteCondition,PoliceSiteCondition,MaintenanceSiteCondition,InventoryInfo,Documents,EncampmentStatus
Carkeek Park,"950 NW Carkeek Park Rd, Seattle, WA 98177, USA",9/2/2009,6/25/2018,18,13,5,8,4,4,47.71172078,-122.3725484,7/21/2016,7/6/2016,C,4872,"1 Number of Photos, 300 Weight of Garbage (lbs), 150 Total Labor Costs ($), 3 Total Staff Hours, 2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5/NE corner of NE 45th St & 5th Ave NE,"NE 45th St & 5th Ave NE, Seattle, WA 98105, USA",6/30/2016,7/24/2018,8,4,1,3,2,2,47.6613308,-122.322875,7/21/2016,4/23/2017,C,4873,"2 Personal Property Recovered, 5 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, ","1 Garbage / Litter, 1 Garbage / Litter, ","2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 1 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under BNSF Railroad Bridge (From Stairs on 37th Ave NW),"6401 37th Ave NW, Seattle, WA 98107, USA",11/23/2015,7/1/2016,2,2,0,2,0,0,47.67467187,-122.4048761,7/22/2016,7/28/2016,C,4874,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
9th Ave NW  & NW 46th St,"849 NW 46th St, Seattle, WA 98107, USA",7/1/2016,7/1/2016,1,1,0,1,0,0,47.6616854,-122.3679051,7/22/2016,5/31/2017,C,4875,,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under I-5 at Eastlake Ave E & Harrison St,"401 Eastlake Avenue East, Seattle, WA 98109, USA",9/1/2015,7/1/2016,3,2,1,1,1,1,47.6219827,-122.3291545,7/22/2016,10/6/2016,C,4876,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Plymouth Pillars Park,"1050 Pike Street, Seattle, WA 98101, USA",6/19/2015,4/25/2018,6,3,1,2,2,2,47.6131963,-122.3295779,7/22/2016,7/8/2016,C,4877,,,"1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Under Boren Avenue between Pike and Pine,"Boren Avenue & Pike Street, Seattle, WA 98101, USA",4/29/2015,1/17/2017,3,2,0,2,0,0,47.6134658,-122.328912,7/22/2016,NULL,O,4878,,"1 Garbage / Litter, 1 Hazardous Materials, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Western Ave & Bell St,"2305 Western Avenue, Seattle, WA 98121, USA",3/26/2015,1/8/2018,25,12,6,6,7,7,47.6128594,-122.3478416,7/26/2016,1/6/2017,C,4879,"2 Personal Property Recovered, 5 Number of People, 5 Number of Structures, 1 Garbage / Litter, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, ","6 Number of Structures, 1 Garbage / Litter, 1 Property Damage, ","5 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Hazardous Materials, 2 Fires, 1 Criminal Activity, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
N 121st St & Stone Way N,"Stone Avenue North, Seattle, WA, USA",10/16/2013,2/14/2018,20,12,6,6,8,8,47.7185301,-122.34218,7/26/2016,7/8/2016,C,4880,,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
3200 block NW 54th Street,"3200 NW 54th St, Seattle, WA 98107, USA",3/22/2012,3/16/2017,18,8,4,4,5,5,47.667719,-122.398681,7/27/2016,9/21/2016,C,4881,,"11 Number of People, 10 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 7 Number of Structures, 1 Garbage / Litter, ","5 Number of People, 12 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Emerson Street Overpass (on Nickerson),"2877 W Emerson St, Seattle, WA 98119, USA",2/9/2016,7/29/2016,3,2,1,1,0,0,47.65399284,-122.3771953,7/27/2016,8/30/2016,C,4882,,"5 Number of People, 7 Number of Structures, 1 Garbage / Litter, 3 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
I-5 Off-Ramp & Dearborn,"803 S Lane St, Seattle, WA 98104, USA",5/4/2011,8/1/2017,5,4,0,4,1,1,47.5965738,-122.3218834,7/27/2016,12/8/2016,C,4883,,"1 Garbage / Litter, 4 Number of Structures, 1 Garbage / Litter, ","1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Thornton Creek King Fisher Natural Area 2,"15th Ave NE & NE 104th St, Seattle, WA 98125, USA",10/16/2015,7/23/2018,9,4,2,2,2,2,47.703958,-122.3123892,7/27/2016,12/17/2015,C,4884,,"2 Number of People, 1 Number of Structures, 2 Garbage / Litter, ","1 Number of People, 2 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-90 on ramp @ Rainier Ave So & Atlantic,"1600 Rainier Avenue South, Seattle, WA 98144, USA",2/20/2013,1/2/2018,10,6,2,4,5,5,47.5894127,-122.3065822,7/27/2016,5/2/2017,C,4885,,"3 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, ","1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 1 Fires, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
N 88th St & Nesbit Ave N,"1209 N 88th St, Seattle, WA 98103, USA",4/30/2014,10/30/2017,4,4,0,4,0,0,47.692353,-122.3419041,7/27/2016,7/7/2016,C,4886,,"1 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
600 S Massachusetts Street,"600 South Massachusetts Street, Seattle, WA 98134, USA",1/29/2013,8/24/2016,9,6,1,5,8,8,47.5882428,-122.3259741,7/28/2016,2/22/2017,C,4887,,"4 Number of Structures, 1 Garbage / Litter, 7 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 Sound Barrier Wall at 5th Ave NE overpass,"5th Avenue Northeast & Northeast 76th Street, Seattle, WA 98115, USA",8/8/2013,10/23/2018,4,3,1,2,1,1,47.6835515,-122.3228868,7/28/2016,1/5/2017,C,4888,,"1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
4500 9TH AVE NW,"4500 9th Ave NW, Seattle, WA 98107, USA",9/23/2015,6/26/2017,4,4,1,3,2,2,47.6614868,-122.3685973,7/28/2016,12/23/2016,C,4889,,"1 Garbage / Litter, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Melrose Ave E & E Roy Street,"E Roy St & Melrose Ave E, Seattle, WA 98102, USA",3/5/2012,5/9/2018,11,6,2,4,4,4,47.6250911,-122.327937,7/28/2016,7/28/2016,C,4890,,"2 Number of Structures, ","2 Number of People, 2 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
I-5 On ramp @ NE 75th St,"7311 Roosevelt Way NE, Seattle, WA 98115, USA",6/8/2011,7/8/2016,2,2,0,2,0,0,47.682029,-122.317929,7/29/2016,2/26/2018,C,4891,,"1 Number of Structures, 1 Garbage / Litter, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
S Holden St & 46th Ave S (SE Corner),"4609 S Holden St, Seattle, WA 98118, USA",7/8/2016,7/8/2016,1,1,0,1,0,0,47.5335049,-122.2749673,7/29/2016,7/8/2016,C,4892,,"1 Human Waste, 1 Criminal Activity, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
SW Spokane St & Avalon Wy SW,"4001 28th Ave SW, Seattle, WA 98126, USA",3/24/2010,4/24/2018,16,14,0,14,22,24,47.57103903,-122.3690038,7/29/2016,8/24/2016,C,4893,,"3 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Des Moines Memorial Dr. S & W Marginal Way S,"Des Moines Memorial Dr S & W Marginal Way S, Seattle, WA 98108, USA",7/8/2016,7/8/2016,1,1,0,1,0,0,47.51928409,-122.3172201,7/29/2016,1/8/2018,C,4894,,,"1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
SW Spokane St & 26th Ave SW,"SW Spokane St & 26th Ave SW, Seattle, WA 98126, USA",7/8/2016,7/8/2016,1,1,0,1,3,3,47.57175883,-122.3669145,7/29/2016,8/8/2016,C,4895,"2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","3 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","2 Males Contacted, 2 Males Contacted, 2 Males Contacted, 2 Number of Shelter Referrals (Male), ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Jackson Park Golf Course NE,14300 block 12th Ave NE,9/2/2009,4/25/2018,9,5,3,2,8,8,47.605078,-122.329974,8/2/2016,5/4/2017,C,4896,"1 Personal Property Recovered, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ","6 Number of People, 1 Garbage / Litter, 1 Rats / Mice, 1 Fires, 1 Alcohol / Drugs, 4 Number of Structures, ","7 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, 1 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Counterbalance Park,"2 Roy Street, Seattle, WA 98109, USA",7/5/2013,12/8/2017,4,4,0,4,0,0,47.6254691,-122.3566817,8/8/2016,7/19/2016,C,4897,,"7 Number of People, 1 Garbage / Litter, 1 Fires, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake - N 70th & Aurora Ave N,"7201 E Green Lake Dr N, Seattle, WA 98115, USA",3/21/2014,4/4/2018,22,12,0,12,1,2,47.6795915,-122.345459,8/9/2016,7/22/2016,C,4898,"1 Garbage / Litter, 1 Human Waste, ","2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Fires, ","2 Number of People, 1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Burke Gilman Trail & Fred Meyer,"915 NW 45th St, Seattle, WA 98107, USA",7/19/2016,5/7/2018,6,2,1,1,0,0,47.6603985,-122.3678102,8/9/2016,8/22/2016,C,4899,,"3 Number of Structures, ","3 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Gasworks Park,"2101 N Northlake Way, Seattle, WA 98103, USA",3/22/2011,9/21/2018,50,20,2,18,9,9,47.646865,-122.333933,8/9/2016,7/19/2016,C,4900,,"2 Number of Structures, 1 Garbage / Litter, ","2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Myrtle Edwards Park,"3130 Alaskan Way West, Seattle, WA 98121, USA",4/18/2014,5/21/2018,5,5,0,5,6,6,47.6195571,-122.3618522,8/9/2016,7/20/2016,C,4901,,"1 Number of Structures, ","1 Number of People, 1 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ballard Bridge north end,"Shilshole Ave NW, Seattle, WA 98107, USA",11/19/2012,5/1/2018,38,22,3,19,36,36,47.66400005,-122.3759365,8/9/2016,8/14/2016,C,4902,"3 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Criminal Activity, 1 Alcohol / Drugs, ","5 Number of Structures, 1 Garbage / Litter, 3 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Criminal Activity, 1 Alcohol / Drugs, ","3 Number of People, 2 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","2 Males Contacted, 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ravenna Park,"5827 16th Ave NE, Seattle, WA 98105, USA",1/27/2010,6/11/2018,30,13,7,6,7,7,47.672277,-122.311202,8/9/2016,12/13/2016,C,4903,,"1 Number of People, 5 Number of Structures, 2 Number of People, 4 Number of Structures, 1 Garbage / Litter, ","3 Number of People, 6 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Woodland Park,"1000 N 50th St, Seattle, WA 98103, USA",9/7/2011,8/16/2018,31,18,4,14,9,9,47.666818,-122.3440719,8/1/2016,7/21/2016,C,4904,,"2 Number of People, 1 Number of Structures, ","2 Number of People, 1 Number of Structures, ",,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Personal Property Recovered, ",,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
619 NW 43RD ST,"619 NW 43rd St, Seattle, WA 98107, USA",7/20/2016,8/1/2016,2,1,0,1,0,0,47.6589447,-122.3647119,8/10/2016,1/6/2017,C,4905,,"1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Number of People, 1 Number of Structures, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ballard Commons Park,"5701 22nd Avenue Northwest, Seattle, WA 98107, USA",6/9/2014,4/27/2018,23,16,9,7,1,1,47.6704585,-122.3854907,8/10/2016,7/21/2016,C,4906,,"3 Number of Structures, 1 Garbage / Litter, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Weedin Pl NE & 8th Ave NE & NE 65th St  Under I5 Over pass,"8th Ave NE & Weedin Pl NE, Seattle, WA 98115, USA",2/28/2011,7/5/2016,2,2,1,1,1,1,47.6764123,-122.3200607,7/26/2016,7/20/2016,C,4907,"3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","3 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","3 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Criminal Activity, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Bryant Neighborhood Park,"NE 65th St & 40th Ave NE, Seattle, WA 98115, USA",7/22/2016,3/14/2017,2,1,0,1,0,0,47.6757864,-122.2848929,8/12/2016,6/1/2017,C,4908,,"1 Number of People, 1 Garbage / Litter, 1 Number of People, 1 Human Waste, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ballard Bridge south end,"W Nickerson St & 15th Ave W, Seattle, WA 98119, USA",5/7/2010,3/15/2018,36,18,4,14,25,26,47.6536875,-122.3755443,8/12/2016,8/14/2016,C,4909,"2 Number of People, 1 Number of Vehicles, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","1 Number of Structures, ","2 Number of People, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","1 Males Contacted, 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
28th Ave NW & NW Market St,"5515 28th Ave NW, Seattle, WA 98107, USA",7/22/2016,7/22/2016,1,1,0,1,0,0,47.66918,-122.393365,8/12/2016,3/23/2017,C,4910,,"1 Number of People, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Fuhrman Ave East & Eastlake (Under Ship Canal Bridge),"3000 Fuhrman Ave E, Seattle, WA 98102, USA",7/22/2016,7/22/2016,1,1,0,1,0,0,47.6478303,-122.3178613,8/12/2016,9/19/2016,C,4911,,"1 Garbage / Litter, ","1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
14th Ave W & W Galer St,"1476 Elliott Ave W, Seattle, WA 98119",6/6/2013,1/24/2018,7,6,2,4,6,6,47.63223377,-122.3740375,8/12/2016,8/22/2016,C,4912,,"1 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
City Hall Park,"450 3rd Ave, Seattle, WA 98104, USA",7/22/2016,10/18/2017,3,3,0,3,1,1,47.6019187,-122.3306018,8/12/2016,1/13/2017,C,4913,,"1 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE 60th Street Park,"551 NE 60th St, Seattle, WA 98115, USA",7/22/2016,4/5/2018,4,2,0,2,0,0,47.6722298,-122.3228722,8/12/2016,9/27/2016,C,4914,,"1 Number of People, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
NE 60th & 5th Ave NE,"550 NE 60th St, Seattle, WA 98115, USA",7/22/2016,7/22/2016,1,1,0,1,0,0,47.672255,-122.3228611,8/12/2016,12/27/2016,C,4915,,"1 Number of People, 1 Number of Structures, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
14th Ave S & S 93rd St.,"9300 14th Ave S, Seattle, WA 98108, USA",7/22/2016,8/23/2018,2,2,0,2,0,0,47.519962,-122.314669,8/12/2016,3/23/2017,C,4916,,,,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Rainier Ave South  Off Ramp,"1500 Valentine Pl S, Seattle, WA 98144, USA",11/15/2015,4/2/2018,9,4,2,2,4,4,47.5894062,-122.307346,8/12/2016,5/19/2017,C,4917,"1 Personal Property Recovered, 48 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 1 Hazardous Materials, 1 Fires, 1 Criminal Activity, 1 Alcohol / Drugs, 1 Property Damage, ","1 Garbage / Litter, 1 Alcohol / Drugs, 3 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, 1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6th Ave S & Holgate St,"1762 6th Ave S, seattle, wa",7/20/2011,7/22/2016,9,7,3,4,10,10,47.5861569,-122.3259681,8/12/2016,8/9/2016,C,4918,"5 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","3 Number of Structures, 2 Number of Vehicles, 1 Garbage / Litter, ","5 Number of People, 5 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
Under Fremont Bridge - Northend,"NE Northlake Way & 7th Ave NE, Seattle, WA 98105, USA",3/5/2013,7/17/2018,4,4,0,4,2,2,47.65439632,-122.3228824,8/12/2016,1/31/2017,C,4919,,"1 Garbage / Litter, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Northacres Park,"12718 1st Avenue Northeast, Seattle, WA 98125, USA",7/15/2013,8/2/2017,17,7,3,4,6,6,47.7212902,-122.3262675,8/14/2016,7/26/2016,C,4920,"2 Personal Property Recovered, 28 Total Labor Costs ($), 1 Total Staff Hours, 2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","3 Number of People, 1 Number of Structures, ","1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Number of Photos, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
2nd & S Spokane St,"2nd Ave S & S Spokane St, Seattle, WA 98134, USA",8/6/2008,4/20/2018,7,6,1,5,6,6,47.57188251,-122.3312563,8/14/2016,7/25/2016,C,4921,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, ","1 Garbage / Litter, 1 Human Waste, ","4 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Hazardous Materials, 1 Alcohol / Drugs, ","1 Males Contacted, 2 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
N 110th St & Interurban Trail,"11008 Fremont Ave N, Seattle, WA 98133, USA",7/24/2016,10/30/2017,3,2,0,2,0,0,47.71666183,-122.347009,8/14/2016,7/25/2016,C,4922,,,"2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, 2 Encampment Premium (Parks), ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Ballard Corners Park,"1702 NW 62nd St, Seattle, WA 98107, USA",7/24/2016,5/29/2018,3,3,1,2,0,0,47.674048,-122.379119,8/14/2016,7/25/2016,C,4923,,"1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
1927 4TH AVE S,"1927 4th Ave S, Seattle, WA 98134, USA",7/25/2016,4/16/2018,5,4,0,4,0,0,47.5850005,-122.32908,8/15/2016,10/6/2016,C,4924,,"1 Number of Structures, 3 Number of Structures, ","1 Garbage / Litter, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Westlake Greenbelt,"2474 8th Ave N, Seattle, WA 98109, USA",7/25/2016,5/1/2018,2,2,0,2,0,0,47.64029746,-122.342484,8/15/2016,10/30/2017,C,4925,,"2 Number of Structures, 1 Garbage / Litter, ","2 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 express lanes (center divider in tunnel) near Columbia St exit,"Seattle, WA",7/25/2016,7/25/2016,1,1,1,0,0,0,47.605078,-122.329974,8/15/2016,NULL,O,4926,,"4 Number of Structures, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
15th Ave NW at NW 46th St (under Ballard Bridge),"NW 46th St & 15th Ave NW, Seattle, WA 98107, USA",11/13/2014,5/10/2018,19,10,4,6,6,6,47.66220888,-122.3755621,8/15/2016,8/14/2016,C,4927,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Criminal Activity, 1 Alcohol / Drugs, ","5 Number of People, 3 Number of Structures, 1 Garbage / Litter, 1 Hazardous Materials, 3 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ","2 Males Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
